,0,1
0,0,0
1,52590,52590
2,17903,17903
3,9947,9947
4,6608,6608
5,5015,5015
6,4490,4490
7,3098,3098
8,2615,2615
9,1003,1003
10,2553,2553
11,2092,2092
12,1914,1914
13,1685,1685
14,1563,1563
15,1396,1396
16,1279,1279
17,1255,1255
18,1207,1207
19,433,433
20,1184,1184
21,970,970
22,1002,1002
23,901,901
24,722,722
25,929,929
26,830,830
27,825,825
28,789,789
29,272,272
30,816,816
31,696,696
32,766,766
33,779,779
34,788,788
35,806,806
36,743,743
37,725,725
38,745,745
39,200,200
40,769,769
41,680,680
42,743,743
43,795,795
44,765,765
45,769,769
46,914,914
47,1000,1000
48,1161,1161
49,30,30
50,2868,2868
51,558,558
52,355,355
53,331,331
54,265,265
55,301,301
56,217,217
57,299,299
58,441,441
59,113,113
60,283,283
61,196,196
62,188,188
63,177,177
64,153,153
65,185,185
66,148,148
67,136,136
68,103,103
69,41,41
70,81,81
71,57,57
72,88,88
73,99,99
74,65,65
75,88,88
76,68,68
77,66,66
78,69,69
79,28,28
80,49,49
81,46,46
82,57,57
83,37,37
84,59,59
85,34,34
86,35,35
87,38,38
88,37,37
89,16,16
90,54,54
91,43,43
92,43,43
93,63,63
94,40,40
95,49,49
96,55,55
97,59,59
98,106,106
99,0,0
100,1014,1014
