Id,Population
3577STDY6068360,Dal
3577STDY6068361,Ibb
3577STDY6068362,Rsa
3577STDY6068363,Rsa
3577STDY6068364,Rsa
3577STDY6068365,Dhm
3577STDY6068366,Abyn
3577STDY6068367,Sad
3577STDY6068368,Dal
3577STDY6068369,Ibb
3577STDY6068370,Rsa
3577STDY6068371,Rsa
3577STDY6068372,Rsa
3577STDY6068373,Dhm
3577STDY6068374,Mhw
3577STDY6068375,Byd
3577STDY6068376,Dal
3577STDY6068377,Ibb
3577STDY6068378,Rsa
3577STDY6068379,Rsa
3577STDY6068380,Lahj
3577STDY6068381,Dhm
3577STDY6068382,Mhw
3577STDY6068383,Byd
3577STDY6068384,Dal
3577STDY6068385,Ibb
3577STDY6068386,Rsa
3577STDY6068387,Rsa
3577STDY6068388,Lahj
3577STDY6068389,Abyn
3577STDY6068390,Sad
3577STDY6068391,Byd
3577STDY6068392,Dal
3577STDY6068393,Ibb
3577STDY6068394,Rsa
3577STDY6068395,Rsa
3577STDY6068396,Lahj
3577STDY6068397,Abyn
3577STDY6068398,Sad
3577STDY6068399,Byd
3577STDY6068400,Dal
3577STDY6068401,Ibb
3577STDY6068402,Rsa
3577STDY6068403,Rsa
3577STDY6068404,Lahj
3577STDY6068405,Abyn
3577STDY6068406,Sad
3577STDY6068407,Byd
3577STDY6068408,Dal
3577STDY6068409,Ibb
3577STDY6068410,Rsa
3577STDY6068411,Rsa
3577STDY6068412,Lahj
3577STDY6068413,Abyn
3577STDY6068414,Sad
3577STDY6068415,Byd
3577STDY6068416,Dal
3577STDY6068417,Ibb
3577STDY6068418,Rsa
3577STDY6068419,Rsa
3577STDY6068420,Lahj
3577STDY6068421,Abyn
3577STDY6068422,Sad
3577STDY6068423,Byd
3577STDY6068424,Dal
3577STDY6068425,Ibb
3577STDY6068426,Rsa
3577STDY6068427,Rsa
3577STDY6068428,Lahj
3577STDY6068429,Abyn
3577STDY6068430,Sad
3577STDY6068431,Jwf
3577STDY6068432,Ibb
3577STDY6068433,Ibb
3577STDY6068434,Rsa
3577STDY6068435,Rsa
3577STDY6068436,Lahj
3577STDY6068437,Abyn
3577STDY6068438,Sad
3577STDY6068439,Jwf
3577STDY6068440,Ibb
3577STDY6068441,Ibb
3577STDY6068442,Rsa
3577STDY6068443,Rsa
3577STDY6068444,Lahj
3577STDY6068445,Abyn
3577STDY6068446,Sad
3577STDY6068447,Jwf
3577STDY6068448,Ibb
3577STDY6068449,Rsa
3577STDY6068450,Rsa
3577STDY6068451,Rsa
3577STDY6068452,Lahj
3577STDY6068453,Abyn
3577STDY6068454,Sad
3577STDY6068456,Jwf
3577STDY6068457,San
3577STDY6068458,Hdr
3577STDY6068459,Hdr
3577STDY6068460,Mrb
3577STDY6068461,Amr
3577STDY6068462,Haj
3577STDY6068463,Shb
3577STDY6068464,Jwf
3577STDY6068465,Hdr
3577STDY6068466,Hdr
3577STDY6068467,Hdr
3577STDY6068468,Mrb
3577STDY6068469,Amr
3577STDY6068470,Haj
3577STDY6068471,Shb
3577STDY6068472,San
3577STDY6068473,Hdr
3577STDY6068474,Hdr
3577STDY6068475,Jwf
3577STDY6068476,Mrb
3577STDY6068477,Amr
3577STDY6068478,Haj
3577STDY6068479,Shb
3577STDY6068480,San
3577STDY6068481,Hdr
3577STDY6068482,Hdr
3577STDY6068483,Jwf
3577STDY6068484,Mrb
3577STDY6068485,Mhw
3577STDY6068486,Haj
3577STDY6068487,Shb
3577STDY6068488,San
3577STDY6068489,Hdr
3577STDY6068490,Hdr
3577STDY6068491,Jwf
3577STDY6068492,Mrb
3577STDY6068493,Mhw
3577STDY6068494,Haj
3577STDY6068495,Shb
3577STDY6068496,San
3577STDY6068497,Hdr
3577STDY6068498,Hdr
3577STDY6068499,Jwf
3577STDY6068500,Amr
3577STDY6068501,Mhw
3577STDY6068502,Haj
3577STDY6068503,Shb
3577STDY6068504,San
3577STDY6068505,Hdr
